model_id,model_family,sample_count,dt1_mean,dt2_mean,dt1_std,dt2_std,dt1_residual_days,dt2_residual_days,dt1_pull_sigma,dt2_pull_sigma,mean_chi2_vs_observed,median_chi2_vs_observed,fraction_within_1sigma_box,fraction_within_2sigma_box
0408_run1001_0_0_0_0_0_1_1_0,powerlaw,10000,-114.91313755862478,-135.54826217606276,0.9022360726761143,1.0353148071388305,-2.8131375586247884,19.951737823937236,-1.3395893136308517,1.5587295174950966,4.415247627349636,4.2669507744798905,0.0,0.965
0408_run1006_0_1_1_0_0_1_1_0,powerlaw,10000,-116.84434584034288,-136.83057408548632,1.1494526477079186,1.3087327924699406,-4.744345840342888,18.66942591451368,-2.2592123049251844,1.4585488995713813,7.541429336496282,7.2522027317339814,0.0,0.2564
0408_run1013_1_0_0_0_0_1_1_0,composite,10000,-111.2327415364136,-132.12011565255182,1.7241689905679736,2.018108846114897,0.8672584635863956,23.379884347448183,0.41298022075542645,1.8265534646443893,4.205733446289194,3.5190516645823635,0.0,0.9192
0408_run1014_1_0_1_0_0_1_1_0,composite,10000,-110.5710453505758,-130.97574356718005,1.3303748084301596,1.549971863477915,1.5289546494241932,24.524256432819953,0.7280736425829492,1.9159575338140589,4.616943282183076,4.196986672107461,0.0,0.8021
0408_run902_0_0_1_0_0_1_1_0,powerlaw,10000,-115.65207883188003,-136.43667769868875,1.145705387313705,1.4085590440028424,-3.5520788318800385,19.063322301311246,-1.6914661104190658,1.489322054789941,5.388867402881417,5.069376558542751,0.0,0.7977
0408_run903_0_0_0_1_0_1_1_0,powerlaw,10000,-118.0640989079792,-137.66305174473732,1.4106034612475766,1.63400497364194,-5.964098907979206,17.836948255262683,-2.8400470990377173,1.3935115824423971,10.475193818564442,10.16842930585198,0.0,0.0147
0408_run904_0_0_1_1_0_1_1_0,powerlaw,10000,-117.00128055568628,-137.10103911789557,0.8066143792086719,0.8867433929508222,-4.901280555686284,18.398960882104433,-2.3339431217553734,1.4374188189144088,7.6657818139880165,7.513356900742819,0.0,0.1835
0408_run905_0_1_0_0_0_1_1_0,powerlaw,10000,-114.31207002783357,-134.37010186880363,2.04076241005615,2.333918434461203,-2.212070027833576,21.12989813119637,-1.0533666799207504,1.6507732914997164,4.812161939169947,3.896189844419731,0.0,0.9858
0408_run907_0_1_0_1_0_1_1_0,powerlaw,10000,-118.53369767107607,-138.8241848894639,1.2610112411962826,1.4356361792118029,-6.433697671076075,16.675815110536092,-3.063665557655274,1.3027980555106322,11.45644984926888,11.175365274632544,0.0,0.0003
0408_run908_0_1_1_1_0_1_1_0,powerlaw,10000,-117.4270505762047,-137.1438297035597,0.8926184953881899,1.008372141530004,-5.327050576204712,18.356170296440297,-2.536690750573672,1.4340758044093982,8.6782337969604,8.506717402409185,0.0,0.0926
0408_run909_0_2_0_0_0_1_1_0,powerlaw,10000,-116.22562600121161,-136.01563647395506,1.2285769944345695,1.427846977227901,-4.125626001211614,19.484363526044945,-1.9645838101007687,1.5222159004722613,6.531406745773529,6.248993788654364,0.0,0.5135
0408_run910_0_2_1_0_0_1_1_0,powerlaw,10000,-116.13710264725594,-135.76368002349838,1.0098885492447063,1.177276945014448,-4.037102647255949,19.73631997650162,-1.9224298320266424,1.541899998164189,6.312891593330599,6.073760601297313,0.0,0.5837
0408_run911_0_2_0_1_0_1_1_0,powerlaw,10000,-115.50799018927533,-135.2911228207595,1.1309470924597933,1.3136234258532653,-3.4079901892753384,20.20887717924049,-1.6228524710834944,1.5788185296281632,5.426852348932574,5.154370081475385,0.0,0.7958
0408_run912_0_2_1_1_0_1_1_0,powerlaw,10000,-117.15854203602336,-136.92458876762745,0.9588416057118673,1.065858665515295,-5.058542036023368,18.575411232372545,-2.4088295409635085,1.451204002529105,8.123840762197034,7.9093681984665345,0.0,0.1512
0408_run915_1_0_0_1_0_1_1_0,composite,10000,-116.34497665104782,-137.0316473990071,1.2407538592450353,1.4562047559602875,-4.244976651047821,18.468352600992887,-2.021417452879915,1.4428400469525693,6.529908618352384,6.375121907083063,0.0,0.4311
0408_run916_1_0_1_1_0_1_1_0,composite,10000,-117.3334929042959,-137.58215497126622,1.141356415504345,1.3022722029663396,-5.2334929042959,17.91784502873378,-2.492139478236143,1.3998316428698265,8.476003834326233,8.214263495812613,0.0,0.0688
0408_run917_1_1_0_0_0_1_1_0,composite,10000,-113.48213941913916,-133.81005950175057,1.2251246637596156,1.4253532782155898,-1.3821394191391647,21.689940498249427,-0.658161628161507,1.6945266014257365,3.6573089934151923,3.376933862678727,0.0,0.9928
0408_run918_1_1_1_0_0_1_1_0,composite,10000,-112.74499891479802,-132.79365156595597,1.7312508259216703,1.9921932015537067,-0.6449989147980233,22.70634843404403,-0.3071423403800111,1.77393347140969,3.9449736902137156,3.510598028971959,0.0,0.9384
0408_run919_1_1_0_1_0_1_1_0,composite,10000,-116.18635200760015,-136.8468962357445,1.210087840755604,1.404079741344778,-4.086352007600155,18.65310376425549,-1.9458819083810261,1.4572737315824602,6.2541451063081785,6.184460046123601,0.0,0.4789
0408_run920_1_1_1_1_0_1_1_0,composite,10000,-117.13739722133093,-137.22063354759968,1.1638907632310016,1.3468942278391702,-5.037397221330934,18.279366452400325,-2.398760581586159,1.4280755040937754,8.111667673605696,8.032207798633504,0.0,0.1718
0408_run921_1_2_0_0_0_1_1_0,composite,10000,-114.46339646088809,-135.07993530786194,1.3857658429701878,1.7427270792402818,-2.3633964608880973,20.420064692138055,-1.1254268861371892,1.5953175540732856,4.265568176508349,3.921275838170671,0.0,0.9803
0408_run922_1_2_1_0_0_1_1_0,composite,10000,-115.30476485974067,-135.96670852903068,1.3235243745254726,1.5209421256365856,-3.2047648597406777,19.533291470969317,-1.526078504638418,1.526038396169478,5.069001391359634,4.837462528869626,0.0,0.8203
0408_run923_1_2_0_1_0_1_1_0,composite,10000,-116.01229150311316,-136.82536609816597,0.8837202461639924,1.0121356734030547,-3.912291503113167,18.674633901834028,-1.8629959538634127,1.4589557735807834,5.782628863802091,5.6520449364605385,0.0,0.6337
0408_run924_1_2_1_1_0_1_1_0,composite,10000,-116.34233721861847,-137.01689823543006,1.0365465263490607,1.2078932755820377,-4.242337218618474,18.483101764569938,-2.0201605802945113,1.4439923253570264,6.41867704496466,6.271551104177894,0.0,0.4456
